City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Danjiangkou,CN,43.5,broken clouds,32.5428,111.5086,Dongsheng Guesthouse
284,Mirebalais,HT,73.76,few clouds,18.8333,-72.1053,Le Jardin
286,Nishihara,JP,62.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
287,Toccoa,US,44.6,scattered clouds,34.5773,-83.3324,Quality Inn
289,Vaitape,PF,81.19,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
290,Laguna,US,62.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
291,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
293,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
299,San Joaquin,US,60.8,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
301,Luganville,VU,86.41,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
303,Kita,ML,73.22,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
304,Torres,BR,70.3,clear sky,-29.3353,-49.7269,Farol Hotel
305,Castro,BR,67.1,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
308,Tianpeng,CN,46.99,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
312,Atambua,ID,76.32,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
313,Vung Tau,VN,74.52,scattered clouds,10.345999999999998,107.0843,Seaside Resort
316,Beyneu,KZ,42.85,overcast clouds,45.3167,55.2,NUR
317,San Lorenzo,PY,78.8,few clouds,-25.3333,-57.5333,Canarias Hotel
319,Miquelon,PM,41.5,broken clouds,47.0975,-56.3814,Auberge de l’Île
320,Byron Bay,AU,78.8,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
321,Lethem,GY,82.13,overcast clouds,3.3803,-59.7968,Savannah Inn
322,Victoria,HK,64.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
323,Tonantins,BR,76.6,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
326,Orvault,FR,46.4,clear sky,47.271,-1.6219,ibis Nantes Treillières
327,Ponta Delgada,PT,55.4,few clouds,37.7333,-25.6667,Vila Nova Hotel
328,Ulladulla,AU,79.0,broken clouds,-35.35,150.4667,Sandpiper Motel
331,Sakakah,SA,55.4,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
332,Santa Ines,BR,75.18,broken clouds,-3.6667,-45.38,HOTEL TOP
333,Naze,JP,51.8,few clouds,28.3667,129.4833,奄美ポートタワーホテル
334,Zaragoza,ES,55.0,clear sky,41.6561,-0.8773,Hotel Goya
335,Antofagasta,CL,66.2,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
336,Quelimane,MZ,82.4,clear sky,-17.8786,36.8883,Hotel Flamingo
338,Santa Lucia,ES,59.0,broken clouds,27.9117,-15.5407,Las Tirajanas
339,Tuatapere,NZ,67.39,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
341,Santa Marta,CO,82.99,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
342,Fort Walton Beach,US,63.0,light rain,30.4058,-86.6188,Best Western Ft. Walton Beachfront
344,Abnub,EG,50.0,clear sky,27.2696,31.1511,Romany Adly Gad
348,Kaitangata,NZ,59.0,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
350,Buala,SB,83.95,light rain,-8.145,159.5921,Maringe Lagoon Lodge
352,San Carlos De Bariloche,AR,80.6,clear sky,-41.1456,-71.3082,Hotel Patagonia
353,Wanaka,NZ,68.88,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
354,Isiro,CD,70.66,broken clouds,2.7739,27.616,Guest House Hewa Bora
356,Port Hardy,CA,42.8,moderate rain,50.6996,-127.4199,Airport Inn
358,Vao,NC,78.73,light rain,-22.6667,167.4833,Hotel Kou-Bugny
359,Carauari,BR,76.89,moderate rain,-4.8828,-66.8958,Hotel Fellip
360,Masterton,NZ,68.0,overcast clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
361,Nueva Loja,EC,74.57,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
362,La Rioja,ES,44.6,clear sky,42.25,-2.5,Casa Concejos
363,Lagoa,PT,54.86,scattered clouds,39.05,-27.9833,Casa Das Faias
365,Bambanglipuro,ID,79.0,overcast clouds,-7.95,110.2833,Puri Brata
366,Hirara,JP,62.6,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
367,Vanimo,PG,84.99,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
369,San-Pedro,CI,78.64,clear sky,4.7485,-6.6363,Hotel Maria
370,Mangrol,IN,64.71,clear sky,21.1167,70.1167,Hotel The Royal Honours
374,Ibotirama,BR,74.26,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
375,Bay Roberts,CA,41.0,fog,47.5999,-53.2648,Stonewall Inn
381,Puerto Madero,MX,82.4,broken clouds,14.7208,-92.4215,Hotel La Central
385,Marysville,US,44.01,overcast clouds,48.0518,-122.1771,Holiday Inn Express & Suites Marysville
387,Chuy,UY,64.98,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
388,Domoni,KM,80.31,overcast clouds,-12.2569,44.5319,Al Djadid
390,Fecamp,FR,46.4,clear sky,49.7579,0.3746,Hôtel d'Angleterre
